,From,To,Mid,District,Floor,Top,BF_RUD,BF_RUD_AV,BF_RUD_TV,BF_INT,BF_INT_AV,BF_INT_TV,BF_ADV,BF_ADV_AV,BF_ADV_TV,CHH_RUD,CHH_RUD_AV,CHH_RUD_TV,CHH_INT,CHH_INT_AV,CHH_INT_TV,CHH_ADV,CHH_ADV_AV,CHH_ADV_TV,FC_RUD,FC_RUD_AV,FC_RUD_TV,FC_INT,FC_INT_AV,FC_INT_TV,FC_ADV,FC_ADV_AV,FC_ADV_TV,MSW_RUD,MSW_RUD_AV,MSW_RUD_TV,MSW_INT,MSW_INT_AV,MSW_INT_TV,MSW_ADV,MSW_ADV_AV,MSW_ADV_TV,MSL_RUD,MSL_RUD_AV,MSL_RUD_TV,MSL_INT,MSL_INT_AV,MSL_INT_TV,MSL_ADV,MSL_ADV_AV,MSL_ADV_TV,EMP_UN,EMP_UN_AV,EMP_UN_TV,EMP_AL,EMP_AL_AV,EMP_AL_TV,EMP_NAL,EMP_NAL_AV,EMP_NAL_TV
14,0,0.1,0.05,482,1.0627426665598163,3.3113408105857145,44.44444444444444,16.0,36.0,2.7777777777777777,1.0,36.0,52.77777777777778,19.0,36.0,44.44444444444444,16.0,36.0,50.0,18.0,36.0,5.555555555555555,2.0,36.0,61.111111111111114,22.0,36.0,0.0,0.0,36.0,38.88888888888889,14.0,36.0,0.0,0.0,36.0,2.7777777777777777,1.0,36.0,97.22222222222221,35.0,36.0,0.0,0.0,36.0,2.7777777777777777,1.0,36.0,97.22222222222221,35.0,36.0,66.66666666666666,24.0,36.0,19.444444444444446,7.0,36.0,13.88888888888889,5.0,36.0
15,0,0.1,0.05,483,0.4226457494640216,3.60906479358095,75.80645161290323,47.0,62.0,3.225806451612903,2.0,62.0,20.967741935483872,13.0,62.0,41.935483870967744,26.0,62.0,53.2258064516129,33.0,62.0,4.838709677419355,3.0,62.0,82.25806451612904,51.0,62.0,8.064516129032258,5.0,62.0,9.67741935483871,6.0,62.0,3.225806451612903,2.0,62.0,22.58064516129032,14.0,62.0,74.19354838709677,46.0,62.0,0.0,0.0,62.0,17.741935483870968,11.0,62.0,82.25806451612904,51.0,62.0,70.96774193548387,44.0,62.0,22.58064516129032,14.0,62.0,6.451612903225806,4.0,62.0
16,0,0.1,0.05,484,0.4927628330587084,5.894862102590711,70.24793388429752,85.0,121.0,11.570247933884298,14.0,121.0,18.181818181818183,22.0,121.0,48.760330578512395,59.0,121.0,33.057851239669425,40.0,121.0,18.181818181818183,22.0,121.0,71.900826446281,87.0,121.0,5.785123966942149,7.0,121.0,22.31404958677686,27.0,121.0,26.446280991735538,32.0,121.0,45.45454545454545,55.0,121.0,28.09917355371901,34.0,121.0,0.0,0.0,121.0,5.785123966942149,7.0,121.0,94.21487603305785,114.0,121.0,44.62809917355372,54.0,121.0,37.1900826446281,45.0,121.0,18.181818181818183,22.0,121.0
17,0,0.1,0.05,485,0.5780239321368493,6.257474562665178,97.14285714285714,68.0,70.0,0.0,0.0,70.0,2.857142857142857,2.0,70.0,15.714285714285714,11.0,70.0,48.57142857142857,34.0,70.0,35.714285714285715,25.0,70.0,91.42857142857143,64.0,70.0,5.714285714285714,4.0,70.0,2.857142857142857,2.0,70.0,64.28571428571429,45.0,70.0,32.857142857142854,23.0,70.0,2.857142857142857,2.0,70.0,4.285714285714286,3.0,70.0,51.42857142857142,36.0,70.0,44.285714285714285,31.0,70.0,38.57142857142858,27.0,70.0,54.285714285714285,38.0,70.0,7.142857142857142,5.0,70.0
18,0,0.1,0.05,486,0.2538556055718377,4.526046862502054,59.87261146496815,94.0,157.0,3.821656050955414,6.0,157.0,36.30573248407643,57.0,157.0,37.57961783439491,59.0,157.0,48.40764331210191,76.0,157.0,14.012738853503185,22.0,157.0,67.51592356687898,106.0,157.0,10.191082802547772,16.0,157.0,22.29299363057325,35.0,157.0,0.6369426751592357,1.0,157.0,21.019108280254777,33.0,157.0,78.343949044586,123.0,157.0,1.2738853503184715,2.0,157.0,3.1847133757961785,5.0,157.0,95.54140127388536,150.0,157.0,55.4140127388535,87.0,157.0,29.29936305732484,46.0,157.0,15.286624203821656,24.0,157.0
19,0,0.1,0.05,487,0.9050210723190264,7.403786830847237,83.92857142857143,47.0,56.0,3.571428571428571,2.0,56.0,12.5,7.0,56.0,42.857142857142854,24.0,56.0,16.071428571428573,9.0,56.0,41.07142857142857,23.0,56.0,85.71428571428571,48.0,56.0,1.7857142857142856,1.0,56.0,12.5,7.0,56.0,1.7857142857142856,1.0,56.0,50.0,28.0,56.0,48.214285714285715,27.0,56.0,0.0,0.0,56.0,10.714285714285714,6.0,56.0,89.28571428571429,50.0,56.0,53.57142857142857,30.0,56.0,35.714285714285715,20.0,56.0,10.714285714285714,6.0,56.0
20,0,0.1,0.05,488,0.03917930293852757,2.512375941101631,43.28358208955223,29.0,67.0,2.9850746268656714,2.0,67.0,53.73134328358209,36.0,67.0,55.223880597014926,37.0,67.0,32.83582089552239,22.0,67.0,11.940298507462686,8.0,67.0,52.23880597014925,35.0,67.0,17.91044776119403,12.0,67.0,29.850746268656714,20.0,67.0,1.4925373134328357,1.0,67.0,11.940298507462686,8.0,67.0,86.56716417910447,58.0,67.0,0.0,0.0,67.0,10.44776119402985,7.0,67.0,89.55223880597015,60.0,67.0,49.25373134328358,33.0,67.0,10.44776119402985,7.0,67.0,40.298507462686565,27.0,67.0
21,0,0.1,0.05,489,0.8871234198548587,8.79800088314665,87.5,28.0,32.0,3.125,1.0,32.0,9.375,3.0,32.0,65.625,21.0,32.0,9.375,3.0,32.0,25.0,8.0,32.0,100.0,32.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,31.25,10.0,32.0,50.0,16.0,32.0,18.75,6.0,32.0,25.0,8.0,32.0,53.125,17.0,32.0,21.875,7.0,32.0,9.375,3.0,32.0,90.625,29.0,32.0,0.0,0.0,32.0
22,0,0.1,0.05,490,1.009582615315176,3.1785562333234063,48.717948717948715,19.0,39.0,0.0,0.0,39.0,51.28205128205128,20.0,39.0,64.1025641025641,25.0,39.0,25.64102564102564,10.0,39.0,10.256410256410255,4.0,39.0,53.84615384615385,21.0,39.0,0.0,0.0,39.0,46.15384615384615,18.0,39.0,7.6923076923076925,3.0,39.0,33.33333333333333,13.0,39.0,58.97435897435898,23.0,39.0,0.0,0.0,39.0,2.564102564102564,1.0,39.0,97.43589743589743,38.0,39.0,28.205128205128204,11.0,39.0,30.76923076923077,12.0,39.0,41.02564102564102,16.0,39.0
23,0,0.1,0.05,491,0.5874452733021567,3.5106438919531264,52.083333333333336,25.0,48.0,0.0,0.0,48.0,47.91666666666667,23.0,48.0,62.5,30.0,48.0,35.41666666666667,17.0,48.0,2.083333333333333,1.0,48.0,39.58333333333333,19.0,48.0,4.166666666666666,2.0,48.0,56.25,27.0,48.0,4.166666666666666,2.0,48.0,81.25,39.0,48.0,14.583333333333334,7.0,48.0,0.0,0.0,48.0,4.166666666666666,2.0,48.0,95.83333333333334,46.0,48.0,2.083333333333333,1.0,48.0,6.25,3.0,48.0,91.66666666666666,44.0,48.0
