attribute,BF_RUD,BF_RUD,BF_RUD,BF_INT,BF_INT,BF_INT,BF_ADV,BF_ADV,BF_ADV,CHH_RUD,CHH_RUD,CHH_RUD,CHH_INT,CHH_INT,CHH_INT,CHH_ADV,CHH_ADV,CHH_ADV,FC_RUD,FC_RUD,FC_RUD,FC_INT,FC_INT,FC_INT,FC_ADV,FC_ADV,FC_ADV,MSW_RUD,MSW_RUD,MSW_RUD,MSW_INT,MSW_INT,MSW_INT,MSW_ADV,MSW_ADV,MSW_ADV,MSL_RUD,MSL_RUD,MSL_RUD,MSL_INT,MSL_INT,MSL_INT,MSL_ADV,MSL_ADV,MSL_ADV,EMP_UN,EMP_UN,EMP_UN,EMP_AL,EMP_AL,EMP_AL,EMP_NAL,EMP_NAL,EMP_NAL
salient_info,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance,vill%_s,vill%_f,distance
224,63.37,86.37,25.91,13.86,3.58,25.91,22.77,10.05,25.91,10.89,9.35,25.91,47.52,38.61,25.91,41.58,52.04,25.91,32.67,21.99,25.91,60.4,75.82,25.91,6.93,2.19,25.91,2.97,19.0,25.91,94.06,78.31,25.91,2.97,2.69,25.91,35.64,63.88,25.91,52.48,30.15,25.91,11.88,5.97,25.91,67.33,83.48,25.91,4.95,8.56,25.91,27.72,7.96,25.91
225,98.27,97.68,31.72,0.0,0.35,31.72,1.73,1.97,31.72,11.56,14.4,31.72,44.51,27.87,31.72,43.93,57.72,31.72,30.06,41.93,31.72,68.79,57.32,31.72,1.16,0.75,31.72,28.32,35.6,31.72,69.94,62.43,31.72,1.73,1.97,31.72,75.72,84.26,31.72,17.34,10.22,31.72,6.94,5.52,31.72,78.03,72.76,31.72,21.39,24.51,31.72,0.58,2.73,31.72
226,41.07,81.67,32.45,23.21,2.72,32.45,35.71,15.61,32.45,32.14,11.98,32.45,42.86,37.93,32.45,25.0,50.09,32.45,58.93,49.0,32.45,21.43,46.1,32.45,19.64,4.9,32.45,21.43,25.95,32.45,76.79,71.14,32.45,1.79,2.9,32.45,21.43,65.34,32.45,67.86,27.95,32.45,10.71,6.72,32.45,71.43,83.12,32.45,0.0,9.07,32.45,28.57,7.8,32.45
227,75.68,88.06,23.0,0.0,0.28,23.0,24.32,11.67,23.0,10.81,8.61,23.0,43.24,41.39,23.0,45.95,50.0,23.0,10.81,24.44,23.0,83.78,74.72,23.0,5.41,0.83,23.0,2.7,16.39,23.0,94.59,81.11,23.0,2.7,2.5,23.0,70.27,74.44,23.0,18.92,20.0,23.0,10.81,5.56,23.0,86.49,84.17,23.0,13.51,12.5,23.0,0.0,3.33,23.0
228,96.3,93.1,20.38,0.0,1.53,20.38,3.7,5.36,20.38,14.81,4.98,20.38,51.85,42.53,20.38,33.33,52.49,20.38,0.0,1.92,20.38,100.0,98.08,20.38,0.0,0.0,20.38,18.52,5.36,20.38,81.48,93.87,20.38,0.0,0.77,20.38,62.96,89.66,20.38,33.33,9.58,20.38,3.7,0.77,20.38,74.07,71.26,20.38,14.81,24.9,20.38,11.11,3.83,20.38
229,82.35,94.26,21.04,0.98,0.69,21.04,16.67,5.04,21.04,7.84,7.12,21.04,53.92,43.22,21.04,38.24,49.65,21.04,7.84,3.96,21.04,88.24,95.15,21.04,3.92,0.89,21.04,4.9,4.55,21.04,94.12,94.26,21.04,0.98,1.19,21.04,64.71,85.66,21.04,25.49,12.46,21.04,9.8,1.88,21.04,76.47,71.51,21.04,20.59,25.62,21.04,2.94,2.87,21.04
230,82.31,87.3,28.99,3.08,0.92,28.99,14.62,11.78,28.99,4.62,6.62,28.99,49.23,45.19,28.99,46.15,48.19,28.99,11.54,9.39,28.99,85.38,87.91,28.99,3.08,2.69,28.99,1.54,1.0,28.99,96.92,97.77,28.99,1.54,1.23,28.99,40.77,62.82,28.99,39.23,25.1,28.99,20.0,12.09,28.99,83.08,76.44,28.99,11.54,19.17,28.99,5.38,4.39,28.99
231,92.08,95.91,33.43,0.0,0.1,33.43,7.92,3.99,33.43,9.9,8.48,33.43,54.46,48.6,33.43,35.64,42.91,33.43,16.83,14.37,33.43,79.21,84.43,33.43,3.96,1.2,33.43,0.0,0.2,33.43,100.0,98.8,33.43,0.0,1.0,33.43,84.16,95.01,33.43,13.86,4.69,33.43,1.98,0.3,33.43,97.03,90.52,33.43,0.99,7.29,33.43,1.98,2.2,33.43
232,82.35,95.85,31.15,1.18,0.36,31.15,16.47,3.79,31.15,9.41,10.66,31.15,41.18,39.69,31.15,49.41,49.64,31.15,23.53,14.69,31.15,69.41,84.0,31.15,7.06,1.3,31.15,0.0,0.95,31.15,94.12,97.39,31.15,5.88,1.66,31.15,69.41,86.49,31.15,21.18,10.19,31.15,9.41,3.32,31.15,83.53,87.32,31.15,8.24,9.48,31.15,8.24,3.2,31.15
233,92.59,96.8,46.19,0.0,0.22,46.19,7.41,2.97,46.19,22.22,17.4,46.19,37.04,29.52,46.19,40.74,53.09,46.19,6.67,21.56,46.19,88.89,77.47,46.19,4.44,0.97,46.19,0.0,11.23,46.19,99.26,87.06,46.19,0.74,1.71,46.19,57.78,78.29,46.19,23.7,13.98,46.19,18.52,7.73,46.19,91.11,86.47,46.19,5.93,11.6,46.19,2.96,1.93,46.19
