,From,To,Mid,District,Floor,Top,EMP_NAL,EMP_AL,EMP_UN,MSL_RUD,MSL_INT,EMP_ADV
169,0,0.1,0.05,600,1.689421018,7.6808535737,0.239735331,0.0522788254,0.7178141735,0.0001687616,0.0417257181,0.9578320396
170,0,0.1,0.05,601,1.5628936386,8.806028077,0.3199309404,0.0112878336,0.6728163108,0.0002787644,0.0302709239,0.9695560445
171,0,0.2,0.1,203,0.1031387755,18.9067254586,0.0540955474,0.1590885342,0.807437334,0.0003117826,0.9441332137,0.0555513232
172,0,0.2,0.1,204,0.7764249223,25.2380017034,0.0455500795,0.2295527213,0.8428184804,0.0003078099,0.9465167553,0.0531665386
173,0,0.2,0.1,205,0.5428662637,5.6044098084,0.044647675,0.2492045476,0.8280241148,0.0001197041,0.8822374506,0.117554328
174,0,0.2,0.1,206,0.641490496,18.7026748232,0.0463623998,0.2127389934,0.8334480952,0.0004939858,0.9209926352,0.0786445288
175,0,0.2,0.1,207,0.4314540326,13.4567305212,0.0595710637,0.2103801172,0.7748986082,0.000556892,0.8684445691,0.1309747907
176,0,0.2,0.1,208,1.3107858689,12.0025258014,0.0399683516,0.2176807745,0.7233955772,0.0007329654,0.9072010168,0.0921395595
177,0,0.2,0.1,209,0.7575649132,12.5535753488,0.0414339811,0.2674128559,0.7669474849,0.0002643678,0.9142909685,0.085408427
178,0,0.2,0.1,210,2.7638675942,16.8589805643,0.0434112107,0.2569829868,0.8989435836,0.0002833164,0.8369932694,0.1627358782
179,0,0.2,0.1,211,1.5286158958,14.9736044372,0.0431406137,0.2449872524,0.8475571431,0.0005998979,0.8348811402,0.1645018399
180,0,0.2,0.1,212,1.572822421,16.2810013416,0.0362459996,0.2281668325,0.8469103361,0.0002998721,0.9372447928,0.062399454
181,0,0.2,0.1,213,0.0690550984,9.6819622339,0.030560401,0.2694040341,0.7810854065,0.0002211193,0.9638641036,0.0358640196
182,0,0.2,0.1,214,0.5039974627,11.4807368246,0.0619909001,0.179458684,0.8150124062,0.0003838778,0.8893636422,0.110241577
183,0,0.2,0.1,215,0.3079828457,9.7939497434,0.0994738679,0.1296578895,0.8666940954,0.0012759988,0.72613913,0.2724726526
184,0,0.2,0.1,216,0.9999003306,12.8707657744,0.1186065336,0.1149720749,0.8310538441,0.0004739959,0.6806067426,0.3189575258
185,0,0.2,0.1,217,0.9565372781,12.5291289713,0.0564448503,0.1145471863,0.8934535207,0.0007407396,0.8107789167,0.1884287006
186,0,0.2,0.1,218,1.9589961247,12.6998549596,0.0728309949,0.102816752,0.8505500167,0.0012411206,0.8484476204,0.150314846
187,0,0.2,0.1,219,1.2214323736,14.6745426809,0.0659297594,0.0954643956,0.8915736368,0.0006986298,0.8412230125,0.1580258852
188,0,0.2,0.1,220,1.9630330264,12.9339371309,0.0946738274,0.1528335185,0.8705723474,0.00127412,0.8005815381,0.1982556235
189,0,0.2,0.1,221,1.0622348389,10.242615926,0.104894481,0.1537405191,0.8581822411,0.0007228819,0.7794148954,0.2199378306
190,0,0.2,0.1,222,3.6485947723,12.3677686281,0.1056166978,0.1363039602,0.8515266235,0.0007643511,0.7571048948,0.2420326241
191,0,0.2,0.1,223,0.5288101033,10.2889409631,0.0541105668,0.1626299317,0.8264795963,0.0001058348,0.8810170015,0.118830279
