,From,To,Mid,District,Floor,Top,BF_RUD,BF_RUD_AV,BF_RUD_TV,BF_INT,BF_INT_AV,BF_INT_TV,BF_ADV,BF_ADV_AV,BF_ADV_TV,CHH_RUD,CHH_RUD_AV,CHH_RUD_TV,CHH_INT,CHH_INT_AV,CHH_INT_TV,CHH_ADV,CHH_ADV_AV,CHH_ADV_TV,FC_RUD,FC_RUD_AV,FC_RUD_TV,FC_INT,FC_INT_AV,FC_INT_TV,MSW_RUD,MSW_RUD_AV,MSW_RUD_TV,MSW_INT,MSW_INT_AV,MSW_INT_TV,MSW_ADV,MSW_ADV_AV,MSW_ADV_TV,MSL_RUD,MSL_RUD_AV,MSL_RUD_TV,MSL_INT,MSL_INT_AV,MSL_INT_TV,EMP_UN,EMP_UN_AV,EMP_UN_TV,EMP_AL,EMP_AL_AV,EMP_AL_TV,EMP_NAL,EMP_NAL_AV,EMP_NAL_TV
20,0,0.2,0.1,594,52.21012483865696,73.32587307768839,0.0,0.0,71.0,9.859154929577464,7.0,71.0,90.14084507042254,64.0,71.0,60.56338028169014,43.0,71.0,39.436619718309856,28.0,71.0,0.0,0.0,71.0,21.12676056338028,15.0,71.0,78.87323943661971,56.0,71.0,88.73239436619718,63.0,71.0,2.8169014084507045,2.0,71.0,8.450704225352112,6.0,71.0,0.0,0.0,71.0,100.0,71.0,71.0,0.0,0.0,71.0,0.0,0.0,71.0,100.0,71.0,71.0
21,0,0.2,0.1,595,5.985442911713947,27.542338525981677,0.0,0.0,33.0,39.39393939393939,13.0,33.0,60.60606060606061,20.0,33.0,51.515151515151516,17.0,33.0,48.484848484848484,16.0,33.0,0.0,0.0,33.0,69.6969696969697,23.0,33.0,30.303030303030305,10.0,33.0,96.96969696969697,32.0,33.0,0.0,0.0,33.0,3.0303030303030303,1.0,33.0,0.0,0.0,33.0,100.0,33.0,33.0,3.0303030303030303,1.0,33.0,0.0,0.0,33.0,96.96969696969697,32.0,33.0
22,0,0.2,0.1,596,3.631075209842181,12.856524191850383,0.0,0.0,13.0,7.6923076923076925,1.0,13.0,92.3076923076923,12.0,13.0,15.384615384615385,2.0,13.0,84.61538461538461,11.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,13.0,100.0,13.0,13.0,30.76923076923077,4.0,13.0,0.0,0.0,13.0,69.23076923076923,9.0,13.0
23,0,0.2,0.1,597,2.5663192673185877,6.342026104264289,0.0,0.0,23.0,13.043478260869565,3.0,23.0,86.95652173913044,20.0,23.0,60.86956521739131,14.0,23.0,39.130434782608695,9.0,23.0,0.0,0.0,23.0,30.434782608695656,7.0,23.0,69.56521739130434,16.0,23.0,95.65217391304348,22.0,23.0,0.0,0.0,23.0,4.3478260869565215,1.0,23.0,0.0,0.0,23.0,100.0,23.0,23.0,0.0,0.0,23.0,0.0,0.0,23.0,100.0,23.0,23.0
24,0,0.2,0.1,598,2.654944845841716,6.529930316625451,0.0,0.0,24.0,8.333333333333332,2.0,24.0,91.66666666666666,22.0,24.0,83.33333333333334,20.0,24.0,16.666666666666664,4.0,24.0,0.0,0.0,24.0,8.333333333333332,2.0,24.0,91.66666666666666,22.0,24.0,70.83333333333334,17.0,24.0,0.0,0.0,24.0,29.166666666666668,7.0,24.0,0.0,0.0,24.0,100.0,24.0,24.0,4.166666666666666,1.0,24.0,0.0,0.0,24.0,95.83333333333334,23.0,24.0
25,0,0.2,0.1,599,2.16079077058668,6.847379143442893,0.0,0.0,14.0,57.14285714285714,8.0,14.0,42.857142857142854,6.0,14.0,64.28571428571429,9.0,14.0,35.714285714285715,5.0,14.0,0.0,0.0,14.0,28.57142857142857,4.0,14.0,71.42857142857143,10.0,14.0,85.71428571428571,12.0,14.0,0.0,0.0,14.0,14.285714285714285,2.0,14.0,0.0,0.0,14.0,100.0,14.0,14.0,7.142857142857142,1.0,14.0,0.0,0.0,14.0,92.85714285714286,13.0,14.0
26,0,0.2,0.1,600,1.7167825968213115,7.624289797413484,0.0,0.0,24.0,0.0,0.0,24.0,100.0,24.0,24.0,91.66666666666666,22.0,24.0,8.333333333333332,2.0,24.0,0.0,0.0,24.0,16.666666666666664,4.0,24.0,83.33333333333334,20.0,24.0,83.33333333333334,20.0,24.0,0.0,0.0,24.0,16.666666666666664,4.0,24.0,0.0,0.0,24.0,100.0,24.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,100.0,24.0,24.0
27,0,0.2,0.1,601,0.3435411997273937,4.1741485822203135,0.0,0.0,26.0,19.230769230769234,5.0,26.0,80.76923076923077,21.0,26.0,61.53846153846154,16.0,26.0,38.46153846153847,10.0,26.0,0.0,0.0,26.0,30.76923076923077,8.0,26.0,69.23076923076923,18.0,26.0,80.76923076923077,21.0,26.0,0.0,0.0,26.0,19.230769230769234,5.0,26.0,0.0,0.0,26.0,100.0,26.0,26.0,0.0,0.0,26.0,0.0,0.0,26.0,100.0,26.0,26.0
28,0,0.30000000000000004,0.15000000000000002,588,2.2443653886820787,10.371699001616053,0.0,0.0,44.0,6.8181818181818175,3.0,44.0,93.18181818181817,41.0,44.0,86.36363636363636,38.0,44.0,13.636363636363635,6.0,44.0,0.0,0.0,44.0,38.63636363636363,17.0,44.0,61.36363636363637,27.0,44.0,100.0,44.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,0.0,0.0,44.0,100.0,44.0,44.0,2.272727272727273,1.0,44.0,0.0,0.0,44.0,97.72727272727273,43.0,44.0
29,0,0.30000000000000004,0.15000000000000002,589,0.2888743699587139,7.555826421534313,0.0,0.0,54.0,7.4074074074074066,4.0,54.0,92.5925925925926,50.0,54.0,100.0,54.0,54.0,0.0,0.0,54.0,0.0,0.0,54.0,81.48148148148148,44.0,54.0,18.51851851851852,10.0,54.0,100.0,54.0,54.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,54.0,100.0,54.0,54.0,0.0,0.0,54.0,0.0,0.0,54.0,100.0,54.0,54.0
