,State,District,Name,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL,ASSET
54,21,386,Khordha ,3,1,2,3,3,3,3.0,4.0,4.0,4.0,4.0,2.0,6.0,1.0,4.0,2.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,3
55,21,387,Puri,2,2,3,2,1,1,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,1
56,21,388,Ganjam,2,1,3,1,1,1,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,5.0,4.0,3.0,1.0,4.0,1
57,21,389,Gajapati,2,1,3,1,1,2,7.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,4.0,2
58,21,390,Kandhamal,1,1,3,1,1,2,7.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,4.0,1.0,5.0,2.0,4.0,2
59,21,391,Baudh,1,2,3,1,1,2,3.0,1.0,1.0,1.0,4.0,6.0,3.0,4.0,7.0,1.0,6.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,1
60,21,392,Subarnapur,1,2,3,1,1,2,3.0,4.0,1.0,4.0,1.0,6.0,3.0,4.0,7.0,1.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,1
61,21,393,Balangir,1,2,3,1,1,1,7.0,1.0,1.0,1.0,4.0,3.0,6.0,1.0,7.0,4.0,3.0,4.0,2.0,4.0,4.0,6.0,1.0,4.0,1
62,21,394,Nuapada,1,2,3,1,1,2,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,1
63,21,395,Kalahandi,1,2,3,1,1,2,3.0,4.0,1.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,6.0,1.0,3.0,4.0,1.0,2.0,2.0,4.0,1
64,21,396,Rayagada  ,1,2,3,1,1,2,3.0,1.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,2
65,21,397,Nabarangapur ,1,2,3,1,1,2,3.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,7.0,4.0,3.0,1.0,3.0,4.0,4.0,5.0,2.0,4.0,1
66,21,398,Koraput,1,2,3,1,1,2,3.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,1.0,6.0,4.0,3.0,4.0,1.0,1.0,2.0,4.0,2
67,21,399,Malkangiri  ,1,2,3,1,1,2,7.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,7.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,1
68,24,468,Kachchh,3,3,1,3,3,3,2.0,1.0,5.0,6.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,6.0,2.0,1.0,4.0,3
69,24,469,Banas Kantha,3,3,1,1,1,1,3.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,2.0,4.0,2
70,24,470,Patan  ,3,3,1,1,3,1,5.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,6.0,5.0,2.0,4.0,2
71,24,471,Mahesana,3,3,1,3,3,1,2.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,6.0,6.0,1.0,4.0,3
