,District,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSW_RUD,MSW_INT,MSW_ADV,MSL_RUD,MSL_INT,MSL_ADV,EMP_UN,EMP_AL,EMP_NAL
130,558,3.0,7.0,1.0,1.0,5.0,5.0,6.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,6.0,5.0,2.0,4.0
131,559,3.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,6.0,4.0,3.0,4.0
132,560,3.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,4.0,3.0,4.0,2.0,4.0
133,561,7.0,7.0,1.0,1.0,2.0,1.0,3.0,4.0,7.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0
134,562,3.0,1.0,4.0,1.0,2.0,1.0,6.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0
135,563,2.0,1.0,5.0,4.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,1.0,6.0,1.0,5.0,4.0
136,564,3.0,4.0,4.0,1.0,2.0,1.0,6.0,1.0,7.0,1.0,1.0,6.0,1.0,4.0,3.0,1.0,2.0,4.0
137,565,3.0,4.0,4.0,5.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,4.0,2.0,4.0
138,566,3.0,4.0,4.0,4.0,5.0,1.0,6.0,1.0,4.0,1.0,5.0,2.0,1.0,4.0,6.0,4.0,3.0,4.0
139,567,3.0,4.0,4.0,1.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,2.0,4.0
140,568,1.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0,1.0,1.0,6.0,4.0,2.0,4.0
141,569,4.0,4.0,6.0,5.0,2.0,1.0,3.0,7.0,5.0,6.0,7.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0
142,570,2.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,5.0,4.0,1.0,6.0,1.0,2.0,4.0
143,571,7.0,1.0,4.0,5.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,6.0,4.0,2.0,4.0
144,572,7.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,6.0,4.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,5.0
145,573,3.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,4.0,1.0,3.0,4.0,2.0,4.0
146,574,3.0,4.0,4.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,6.0,4.0,2.0,4.0
147,575,4.0,2.0,6.0,5.0,2.0,4.0,3.0,7.0,5.0,2.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0
148,576,1.0,1.0,6.0,5.0,2.0,1.0,3.0,7.0,4.0,2.0,1.0,5.0,4.0,1.0,6.0,1.0,1.0,6.0
149,577,3.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,6.0,5.0,2.0,4.0
150,578,3.0,4.0,4.0,1.0,5.0,1.0,3.0,4.0,1.0,4.0,5.0,2.0,1.0,4.0,6.0,5.0,2.0,1.0
151,579,3.0,7.0,4.0,5.0,1.0,1.0,6.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,6.0,2.0,2.0,4.0
152,580,7.0,4.0,1.0,1.0,5.0,4.0,3.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0,5.0,1.0,3.0,4.0
153,581,3.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,1.0,2.0,5.0,1.0,1.0,6.0,1.0,2.0,4.0
154,582,3.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,4.0,6.0,4.0,2.0,4.0
155,583,4.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,1.0,5.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0
156,584,3.0,4.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,6.0,1.0,2.0,4.0
